2016-05-02 16:05:04 install libhx509-5-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:04 status half-installed libhx509-5-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:04 status unpacked libhx509-5-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:04 status unpacked libhx509-5-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:05 install libkrb5-26-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:05 status half-installed libkrb5-26-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:05 status unpacked libkrb5-26-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:05 status unpacked libkrb5-26-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:05 install libheimntlm0-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:05 status half-installed libheimntlm0-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:06 status unpacked libheimntlm0-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:06 status unpacked libheimntlm0-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:06 install libgssapi3-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:06 status half-installed libgssapi3-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:06 status unpacked libgssapi3-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:06 status unpacked libgssapi3-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1
2016-05-02 16:05:06 install libsasl2-modules-db:amd64 <none> 2.1.26.dfsg1-14build1
2016-05-02 16:05:06 status half-installed libsasl2-modules-db:amd64 2.1.26.dfsg1-14build1
2016-05-02 16:05:06 status unpacked libsasl2-modules-db:amd64 2.1.26.dfsg1-14build1
2016-05-02 16:05:06 status unpacked libsasl2-modules-db:amd64 2.1.26.dfsg1-14build1
2016-05-02 16:05:07 install libsasl2-2:amd64 <none> 2.1.26.dfsg1-14build1
2016-05-02 16:05:07 status half-installed libsasl2-2:amd64 2.1.26.dfsg1-14build1
2016-05-02 16:05:07 status unpacked libsasl2-2:amd64 2.1.26.dfsg1-14build1
2016-05-02 16:05:07 status unpacked libsasl2-2:amd64 2.1.26.dfsg1-14build1
2016-05-02 16:05:07 install libldap-2.4-2:amd64 <none> 2.4.42+dfsg-2ubuntu3
2016-05-02 16:05:07 status half-installed libldap-2.4-2:amd64 2.4.42+dfsg-2ubuntu3
2016-05-02 16:05:07 status unpacked libldap-2.4-2:amd64 2.4.42+dfsg-2ubuntu3
2016-05-02 16:05:07 status unpacked libldap-2.4-2:amd64 2.4.42+dfsg-2ubuntu3
2016-05-02 16:05:08 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d-1build1
2016-05-02 16:05:08 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d-1build1
2016-05-02 16:05:08 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d-1build1
2016-05-02 16:05:08 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d-1build1
2016-05-02 16:05:08 install libcurl3-gnutls:amd64 <none> 7.47.0-1ubuntu2
2016-05-02 16:05:08 status half-installed libcurl3-gnutls:amd64 7.47.0-1ubuntu2
2016-05-02 16:05:08 status unpacked libcurl3-gnutls:amd64 7.47.0-1ubuntu2
2016-05-02 16:05:08 status unpacked libcurl3-gnutls:amd64 7.47.0-1ubuntu2
2016-05-02 16:05:09 install libgeoip1:amd64 <none> 1.6.9-1
2016-05-02 16:05:09 status half-installed libgeoip1:amd64 1.6.9-1
2016-05-02 16:05:09 status unpacked libgeoip1:amd64 1.6.9-1
2016-05-02 16:05:09 status unpacked libgeoip1:amd64 1.6.9-1
2016-05-02 16:05:09 install binutils:amd64 <none> 2.26-8ubuntu2
2016-05-02 16:05:09 status half-installed binutils:amd64 2.26-8ubuntu2
2016-05-02 16:05:09 status unpacked binutils:amd64 2.26-8ubuntu2
2016-05-02 16:05:10 status unpacked binutils:amd64 2.26-8ubuntu2
2016-05-02 16:05:10 install libc-dev-bin:amd64 <none> 2.23-0ubuntu3
